Дата,Новость,Кавередж,Сессии,CTR,% удовлетворения,Ответивших,CTR опроса,Локаль,Тема,Номер,,,
"Apr 14, 2020",Renforcez la sécurité et la confidentialité de vos appels Zoom,  119,  108,90.76%,,,0.00%,FR,advice,0101,,,
"Apr 14, 2020",Mayor seguridad y privacidad en Zoom,  850,  710,83.53%,,,0.00%,ES,advice,0102,,,
"Apr 14, 2020",Maior privacidade e segurança de chamadas no Zoom, 1 122,  683,60.87%,,,0.00%,PT,advice,0103,,,
"Apr 14, 2020",Rendi più sicure e private le tue chiamate su Zoom ,  142,  140,98.59%,,,0.00%,IT,advice,0104,,,
"Apr 14, 2020",Сделайте общение в Zoom более безопасным,  572,  290,50.70%,,,0.00%,RU,advice,0105,,,
"Apr 16, 2020",SMS phishing campaign targets SBI customers, 5 479, 1 010,18.43%,100%,  24,2.38%,EN,phishing,0106,,,
"Apr 21, 2020",Update Windows Foxit Reader to version 9.7.2, 11 211, 3 319,29.60%,100%,  25,0.75%,EN,security update,0107,,,
"Apr 22, 2020",Jetzt Windows Foxit Reader auf Version 9.7.2 aktualisieren,  695,  339,48.78%,,,0.00%,DE,security update,0108,,,
"Apr 22, 2020",Mettez à jour Windows Foxit Reader à la version 9.7.2, 1 695,  723,42.65%,,,0.00%,FR,security update,0109,,,
"Apr 22, 2020",Actualiza Windows Foxit Reader a la versión 9.7.2, 3 858, 1 036,26.85%,,,0.00%,ES,security update,0110,,,
"Apr 22, 2020",Atualize o Windows Foxit Reader para a versão 9.7.2, 12 837, 2 980,23.21%,,,0.00%,PT,security update,0111,,,
"Apr 22, 2020",Aggiorna Windows Foxit Reader alla versione 9.7.2, 1 187,  524,44.14%,,,0.00%,IT,security update,0112,,,
"Apr 22, 2020",Обновите Foxit Reader для Windows до версии 9.7.2,  598,  223,37.29%,,,0.00%,RU,security update,0113,,,
"Apr 22, 2020",Update Windows Foxit Reader to version 9.7.2,  36,  23,63.89%,,,0.00%,FI,security update,0114,,,
"Apr 22, 2020",Update Windows Foxit Reader to version 9.7.2,  18,  6,33.33%,,,0.00%,NO,security update,0115,,,
"Apr 22, 2020",Windows Foxit Reader’ı 9.7.2 sürümüne yükseltin,  469,  154,32.84%,,,0.00%,TR,security update,0116,,,
"Apr 22, 2020",Update Windows Foxit Reader to version 9.7.2,  52,  24,46.15%,,,0.00%,SE,security update,0117,,,
"Apr 22, 2020",Update Windows Foxit Reader to version 9.7.2,  44,  13,29.55%,,,0.00%,DK,security update,0118,,,
"Apr 27, 2020",Skype phishing scams on the rise, 216 813, 59 823,27.59%,96%,  540,0.90%,EN,phishing,0119,,,
"Apr 28, 2020",Anstieg beim Skype-Phishing, 22 940, 9 547,41.62%,,,0.00%,DE,phishing,0120,,,
"Apr 28, 2020",Hausse des escroqueries par hameçonnage sur Skype, 32 477, 12 938,39.84%,,,0.00%,FR,phishing,0121,,,
"Apr 28, 2020",Aumentan las estafas por phishing en Skype, 106 838, 23 814,22.29%,,,0.00%,ES,phishing,0122,,,
"Apr 28, 2020",Golpes de phishing em alta no Skype, 132 294, 32 559,24.61%,,,0.00%,PT,phishing,0123,,,
"Apr 28, 2020",In aumento il phishing su Skype, 33 944, 12 708,37.44%,,,0.00%,IT,phishing,0124,,,
"Apr 28, 2020",Новая волна фишинга от имени Skype, 12 532, 4 162,33.21%,,,0.00%,RU,phishing,0125,,,
"Apr 28, 2020",Skype phishing scams on the rise,  671,  266,39.64%,,,0.00%,FI,phishing,0126,,,
"Apr 28, 2020",Skype phishing scams on the rise,  460,  172,37.39%,,,0.00%,NO,phishing,0127,,,
"Apr 28, 2020",Skype kimlik avı dolandırıcılıkları yükselişte, 17 220, 5 268,30.59%,,,0.00%,TR,phishing,0128,,,
"Apr 28, 2020",Skype phishing scams on the rise, 2 631,  865,32.88%,,,0.00%,SE,phishing,0129,,,
"Apr 28, 2020",Skype phishing scams on the rise, 1 234,  474,38.41%,,,0.00%,DK,phishing,0130,,,
"Apr 28, 2020",Phishingové útoky týkající se Skype na vzestupu,  282,  134,47.52%,,,0.00%,CZ,phishing,0131,,,
"Apr 30, 2020",Cuidado con el phishing que suplanta al BBVA, 12 913, 4 377,33.90%,,,0.00%,ES,phishing,0132,,,
"May 7, 2020","28,000 GoDaddy hosting accounts breached", 5 629, 2 569,45.64%,84%,  19,0.74%,EN,data breach,0133,,,
"May 7, 2020",28 000 comptes d’hébergement GoDaddy piratés,148,  87,58.78%,,,0.00%,FR,data breach,0134,,,
"May 7, 2020",Ataque a 28 000 cuentas de alojamiento de GoDaddy, 1 992, 1 014,50.90%,,,0.00%,ES,data breach,0135,,,
"May 7, 2020",28 mil contas de hospedagem da GoDaddy são violadas, 1 575,  862,54.73%,,,0.00%,PT,data breach,0136,,,
"May 7, 2020",28.000 account di hosting su GoDaddy violati,  161,  96,59.63%,,,0.00%,IT,data breach,0137,,,
"May 7, 2020",28.000 GoDaddy hosting hesabı bilgisine erişildi,  372,  239,64.25%,,,0.00%,TR,data breach,0138,,,
"May 7, 2020","28,000 GoDaddy hosting accounts breached ",  18,  9,50.00%,,,0.00%,SE,data breach,0139,,,
"May 8, 2020",Update your Samsung device to fix this vulnerability, 5 870, 2 719,46.32%,94%,  154,5.66%,EN,security update,0140,,,
"May 12, 2020","Aktualisieren Sie Ihr Samsung-Gerät, um diese Schwachstelle zu beheben", 2 321, 1 269,54.67%,,,,DE,security update,0141,,,
"May 12, 2020",Mettez à jour votre appareil Samsung pour corriger cette vulnérabilité,  667,  425,63.72%,,,,FR,security update,0142,,,
"May 12, 2020",Actualiza tu dispositivo Samsung para solucionar esta vulnerabilidad , 1 097,  639,58.25%,,,,ES,security update,0143,,,
"May 12, 2020",Atualize seu Samsung para corrigir essa vulnerabilidade, 2 180, 1 117,51.24%,,,,PT,security update,0144,,,
"May 12, 2020",Aggiornate il vostro dispositivo Samsung per risolvere questa vulnerabilità,  383,  223,58.22%,,,,IT,security update,0145,,,
"May 12, 2020",Обновите свой смартфон Samsung, 1 624,  724,44.58%,,,,RU,security update,0146,,,
"May 12, 2020",Bu güvenlik açığını gidermek için Samsung cihazınızı güncelleyin,  176,  112,63.64%,,,,TR,security update,0147,,,
"May 12, 2020",Update your Samsung device to fix this vulnerability,68,  45,66.18%,,,,SE,security update,0148,,,
"May 12, 2020",Update your Samsung device to fix this vulnerability,  25,  9,36.00%,,,,DK,security update,0149,,,
"May 12, 2020",Aktualizujte své zařízení Samsung a opravte chybu zabezpečení,  12,  13,108.33%,,,,CZ,security update,0150,,,
"May 14, 2020",Zoosk user data for sale,  474,  237,50.00%,,,,EN,data breach,0151,,,
"May 19, 2020",Data breach affects EasyJet users,  289,  159,55.02%,,,,EN,data breach,0152,,,
"May 20, 2020",Diverses campagnes de phishing se font passer pour l’Assurance Maladie, 5 724, 3 012,52.62%,,,,FR,phishing,0153,,,
"May 26, 2020",New wave of SMS phishing targets ING customers,  212,  94,44.34%,,,,EN,phishing,0154,,,
"May 29, 2020",Be cautious: Absa phishing campaign on the rise,  494,  143,28.95%,,,,EN,phishing,0155,,,
"Jun 3, 2020",¡Ojo! Una nueva campaña de phishing se hace pasar por Carrefour y Lidl, 2 973, 1 432,48.17%,,,,ES,phishing,0156,,,
"Jun 5, 2020",Expecting a tax refund? Beware of these phishing pages, 19 545, 3 966,20.29%,,,,EN,phishing,0157,,,
"Jun 11, 2020",Coronavirus-themed phishing targets taxpayers, 12 031, 3 398,28.24%,,,,EN,phishing,0158,,,
"Jun 17, 2020",Cuidado con los mensajes de phishing de Banco Estado,  970,  496,51.13%,,,,ES,phishing,0159,,,
"Jun 18, 2020",Update your VLC Media Player to version 3.0.11, 76 987, 25 197,32.73%,,,,EN,security update,0160,,,
"Jun 19, 2020",Aktualisieren Sie Ihren VLC Media Player auf die Version 3.0.11, 5 164, 3 202,62.01%,,,,DE,security update,0161,,,
"Jun 19, 2020",Mettez à jour VLC Media Player vers la version 3.0.11, 14 847, 6 211,41.83%,,,,FR,security update,0162,,,
"Jun 19, 2020",Actualiza tu VLC Media Player a la versión 3.0.11, 26 876, 9 402,34.98%,,,,ES,security update,0163,,,
"Jun 19, 2020",Atualize o VLC Media Player para a versão 3.0.11, 24 920, 9 009,36.15%,,,,PT,security update,0164,,,
"Jun 19, 2020",Aggiorna il tuo VLC Media Player alla versione 3.0.11, 9 000, 4 192,46.58%,,,,IT,security update,0165,,,
"Jun 19, 2020",Обновите свой плеер VLC до версии 3.0.11, 1 948, 2 556,131.21%,,,,RU,security update,0166,,,
"Jun 19, 2020",Update your VLC Media Player to version 3.0.11,  187,  112,59.89%,,,,FI,security update,0167,,,
"Jun 19, 2020",Update your VLC Media Player to version 3.0.11,  133,  56,42.11%,,,,NO,security update,0168,,,
